Location,State Is Easing Social Distancing Measures,Stay at Home Order,Mandatory Quarantine for Travelers,Non-Essential Business Closures,Large Gatherings Ban,School Closures,Restaurant Limits,Primary Election Postponement,Emergency Declaration Date,Emergency Declaration
New Hampshire,-,Statewide,-,All Non-Essential Businesses Closed,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Unchanged,2020-03-13,Yes
New Jersey,-,Statewide,-,Some Non-Essential Businesses Closed,All Gatherings Prohibited,Closed,Closed Except for Takeout/Delivery,Postponed,2020-03-09,Yes
New Mexico,-,Statewide,All Air Travelers,All Non-Essential Businesses Closed,All Gatherings Prohibited,Closed for School Year,Limited Dine-in Service,Postponed,2020-03-11,Yes
New York,-,Statewide,-,All Non-Essential Businesses Closed,All Gatherings Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Cancelled,2020-03-07,Yes
North Carolina,Yes,Statewide,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 People Prohibited,Closed,Closed Except for Takeout/Delivery,Unchanged,2020-03-10,Yes
North Dakota,Yes,No,All Travelers,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,-,Closed,Reopened to Dine-in Service with Capacity Limits,Unchanged,2020-03-13,Yes
Ohio,Yes,Statewide,All Travelers,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,All Gatherings Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Remote,2020-03-09,Yes
Oklahoma,Yes,High-Risk Groups,From Certain States,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 People Prohibited,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Unchanged,2020-03-15,Yes
Oregon,-,Statewide,-,Some Non-Essential Businesses Closed,All Gatherings Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Unchanged,2020-03-08,Yes
Pennsylvania,Yes,Statewide,-,All Non-Essential Businesses Closed,All Gatherings Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Postponed,2020-03-06,Yes
Rhode Island,-,Statewide,All Travelers,Some Non-Essential Businesses Closed,Other,Closed,Closed Except for Takeout/Delivery,Postponed,2020-03-09,Yes
South Carolina,Yes,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen,All Gatherings Prohibited,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Unchanged,2020-03-13,Yes
South Dakota,Yes,No,-,No information,Lifted,Recommended Closure for School Year,No information,Postponed,2020-03-13,Yes
Tennessee,Yes,Lifted,-,Some Non-Essential Businesses Permitted to Reopen,>10 People Prohibited,Recommended Closure for School Year,Reopened to Dine-in Service with Capacity Limits,Unchanged,2020-03-12,Yes
Texas,Yes,Lifted,From Certain States,No information,>10 People Prohibited,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Unchanged,2020-03-13,Yes
Utah,Yes,Lifted,Rolled Back to Certain States,No information,Expanded to 20+ People Prohibited,Closed for School Year,Reopened to Dine-in Service,Unchanged,2020-03-06,Yes
Vermont,Yes,Statewide,All Travelers,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Unchanged,2020-03-13,Yes
Virginia,-,Statewide,-,Some Non-Essential Businesses Closed,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Unchanged,2020-03-12,Yes
Washington,-,Statewide,-,All Non-Essential Businesses Closed,All Gatherings Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Unchanged,2020-02-29,Yes
West Virginia,Yes,Lifted,From Certain States,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to 25+ People Prohibited,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Postponed,2020-03-04,Yes
Wisconsin,-,Statewide,-,All Non-Essential Businesses Closed,All Gatherings Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Unchanged,2020-03-12,Yes
Wyoming,-,No,All Travelers,No information,>10 People Prohibited,Closed,Closed Except for Takeout/Delivery,Remote,2020-03-13,Yes
